DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK,EKPC
12/29/16,100,28971,5481,10387,1670,13577,1397,10457,6878,2631,1355
12/29/16,200,28121,5323,9969,1613,13179,1352,10249,6694,2556,1298
12/29/16,300,27621,5246,9694,1599,13069,1320,10140,6612,2504,1301
12/29/16,400,27520,5212,9529,1598,12985,1325,10103,6560,2506,1299
12/29/16,500,27913,5295,9567,1631,13152,1352,10331,6687,2573,1350
12/29/16,600,29151,5516,9770,1734,13569,1408,10851,6913,2715,1416
12/29/16,700,31202,5810,10340,1878,14373,1499,11485,7398,2923,1533
12/29/16,800,32978,6020,11180,1997,15070,1575,11912,7805,3121,1614
12/29/16,900,33748,6076,11573,2036,15286,1614,12033,8038,3128,1639
12/29/16,1000,34497,6159,11632,2054,15362,1622,11987,8205,3165,1589
12/29/16,1100,34769,6169,11755,2067,15483,1645,11811,8354,3160,1564
12/29/16,1200,34736,6103,11844,2053,15396,1669,11488,8349,3140,1511
12/29/16,1300,34339,6070,12104,2031,15259,1690,11093,8225,3106,1504
12/29/16,1400,33975,5981,12226,1983,15116,1701,10782,8146,3071,1489
12/29/16,1500,33215,5929,12241,1954,14825,1676,10463,8009,3020,1463
12/29/16,1600,32911,5904,12251,1947,14869,1660,10468,7841,3016,1488
12/29/16,1700,33984,6024,12198,2027,15207,1649,11009,8002,3129,1544
12/29/16,1800,36475,6471,12693,2192,16137,1754,12146,8501,3367,1698
12/29/16,1900,36507,6583,13087,2221,16408,1768,12283,8580,3432,1813
12/29/16,2000,35962,6532,12797,2195,16386,1754,12331,8502,3408,1848
12/29/16,2100,35216,6457,12599,2166,16268,1717,12193,8378,3392,1825
12/29/16,2200,33883,6275,12293,2092,15922,1665,11862,8152,3298,1792
12/29/16,2300,31972,5994,11900,1990,15345,1577,11420,7790,3155,1756
12/29/16,2400,30032,5719,11254,1887,14671,1491,10940,7342,2978,1579
12/28/16,100,25455,4935,10693,1769,13327,1359,8436,6992,2820,1589
12/28/16,200,24721,4811,10244,1724,13172,1319,8261,6755,2768,1572
12/28/16,300,24459,4821,9967,1723,13188,1309,8260,6661,2737,1610
12/28/16,400,24570,4836,9820,1732,13282,1295,8434,6668,2767,1655
12/28/16,500,25325,5016,9836,1774,13703,1320,8872,6770,2856,1724
12/28/16,600,27181,5273,10109,1882,14454,1387,9653,7075,3009,1815
12/28/16,700,29552,5661,10653,2015,15522,1488,10631,7604,3222,1942
12/28/16,800,31446,5928,11432,2140,16338,1579,11298,8000,3393,2038
12/28/16,900,32088,6033,11805,2168,16567,1606,11348,8094,3423,2020
12/28/16,1000,32363,6055,11856,2141,16369,1644,11027,8198,3390,1916
12/28/16,1100,32541,5997,11878,2103,15915,1655,10765,8275,3309,1791
12/28/16,1200,32288,5893,11845,2053,15456,1638,10479,8161,3241,1656
12/28/16,1300,31795,5775,11758,2001,15102,1620,10202,7992,3137,1534
12/28/16,1400,31432,5634,11727,1960,14733,1597,10001,7869,3078,1472
12/28/16,1500,31298,5534,11703,1911,14414,1571,9874,7719,3021,1401
12/28/16,1600,31538,5520,11568,1894,14278,1559,9930,7648,2975,1397
12/28/16,1700,33114,5662,11644,1918,14462,1587,10499,7805,3001,1432
